location,size,total_sqft,bath,price,bhk,Price_Per_sqft
Bommanahalli,2 BHK,1100.0,1.0,55.0,2,5000.0
Maithri Layout,3 BHK,1685.0,3.0,60.0,3,3560.8308605341244
Sarakki Nagar,4 BHK,3131.0,4.0,349.0,4,11146.598530820824
Kachanayakanahalli,2 BHK,827.0,2.0,45.0,2,5441.354292623942
Electronics City Phase 1,1 BHK,635.0,1.0,26.0,1,4094.488188976378
Whitefield,4 Bedroom,4000.0,4.0,380.0,4,9500.0
Vishwanatha Nagenahalli,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
Benson Town,3 BHK,2850.0,4.0,470.0,3,16491.22807017544
Raja Rajeshwari Nagar,3 BHK,1751.0,3.0,72.0,3,4111.936036550543
Vasanth nagar,4 BHK,4750.0,6.0,1102.0,4,23200.0
Bommasandra,2 BHK,1020.0,2.0,40.89,2,4008.823529411765
Thanisandra,2 BHK,1148.0,2.0,43.5,2,3789.198606271777
Bellandur,2 BHK,1325.0,2.0,65.0,2,4905.66037735849
Sai Gardens,2 BHK,1261.0,2.0,61.0,2,4837.430610626487
7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3,8059.701492537313
Kodihalli,4 BHK,3260.0,5.0,388.0,4,11901.840490797545
Uttarahalli,2 BHK,1160.0,2.0,45.0,2,3879.310344827586
Sahakara Nagar,3 BHK,1914.0,3.0,149.0,3,7784.743991640544
BTM Layout,3 BHK,1458.0,3.0,79.0,3,5418.38134430727
Hulimavu,3 BHK,3035.0,5.0,220.0,3,7248.764415156507
Yelahanka,3 BHK,1556.0,3.0,86.0,3,5526.9922879177375
Jigani,2 BHK,918.0,2.0,50.0,2,5446.623093681917
Sarjapur  Road,3 BHK,1455.0,2.0,98.0,3,6735.395189003437
Bannerghatta Road,3 BHK,1100.0,2.0,52.0,3,4727.272727272727
Sarjapur  Road,3 BHK,1405.0,3.0,48.87,3,3478.291814946619
Subramanyapura,2 BHK,929.0,2.0,56.0,2,6027.9870828848225
Channasandra,2 BHK,1065.0,2.0,40.47,2,3800.0
Bannerghatta Road,3 BHK,1532.5,3.0,84.29,3,5500.163132137031
Anandapura,2 BHK,1250.0,2.0,45.0,2,3600.0
Marathahalli,3 BHK,1680.0,3.0,105.0,3,6250.0
Nagarbhavi,2 BHK,1146.0,2.0,50.0,2,4363.001745200698
Ramagondanahalli,3 BHK,1451.0,3.0,60.44,3,4165.40317022743
Nobo Nagar,3 BHK,1424.0,2.0,55.0,3,3862.3595505617977
Gottigere,3 BHK,1435.0,2.0,62.0,3,4320.557491289199
Devanahalli,1 BHK,658.0,1.0,26.91,1,4089.665653495441
Whitefield,2 BHK,1242.0,2.0,65.0,2,5233.494363929147
Yelahanka,3 BHK,1610.0,4.0,85.0,3,5279.503105590062
Hulimavu,2 BHK,1127.0,2.0,65.0,2,5767.524401064774
Krishna Reddy Layout,3 BHK,1250.0,3.0,55.0,3,4400.0
Kuvempu Layout,3 Bedroom,2200.0,4.0,160.0,3,7272.727272727273
Chandapura,2 BHK,876.0,2.0,29.5,2,3367.5799086757993
Kadugodi,2 BHK,1314.0,2.0,83.0,2,6316.590563165905
Rachenahalli,1 BHK,690.0,1.0,39.8,1,5768.115942028985
Srirampura,2 BHK,1230.0,2.0,55.0,2,4471.544715447155
Bommasandra,2 BHK,920.0,2.0,37.2,2,4043.478260869566
Sarjapur  Road,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
Electronic City,2 BHK,1073.0,2.0,60.0,2,5591.798695246971
Maithri Layout,3 BHK,1540.0,3.0,76.0,3,4935.064935064935
Kanakpura Road,3 BHK,1550.0,3.0,63.5,3,4096.774193548387
Kalyan nagar,2 BHK,1198.0,2.0,65.0,2,5425.709515859767
HBR Layout,3 BHK,1656.0,3.0,90.0,3,5434.782608695652
Kaveri Nagar,3 BHK,1900.0,3.0,155.0,3,8157.894736842105
Ramagondanahalli,3 BHK,1910.0,3.0,142.0,3,7434.55497382199
Thanisandra,3 BHK,2172.0,3.0,76.02,3,3500.0
Whitefield,3 BHK,1548.0,3.0,65.0,3,4198.966408268734
Whitefield,4 BHK,2856.0,5.0,154.5,4,5409.663865546218
Hosur Road,3 BHK,1689.0,3.0,103.0,3,6098.283007696862
Bhoganhalli,4 BHK,2119.0,4.0,111.0,4,5238.319962246343
Devi Nagar,2 BHK,1100.0,2.0,61.0,2,5545.454545454545
Hennur Road,3 BHK,1250.0,2.0,77.88,3,6230.4
Electronic City,3 BHK,1500.0,2.0,78.0,3,5200.0
OLd Gurappanapalya,3 BHK,1942.0,3.0,155.0,3,7981.462409886714
Haralur Road,3 BHK,1985.0,3.0,130.0,3,6549.11838790932
Sarjapur  Road,1 BHK,950.0,1.0,39.9,1,4200.0
Green Glen Layout,3 BHK,1752.0,3.0,105.0,3,5993.1506849315065
Old Madras Road,3 BHK,1480.0,2.0,84.0,3,5675.675675675676
Sarjapur  Road,3 BHK,1826.0,3.0,130.0,3,7119.386637458927
Thanisandra,2 BHK,934.0,2.0,55.0,2,5888.650963597431
Mahadevpura,3 BHK,1620.0,2.0,76.0,3,4691.358024691358
Electronic City,2 BHK,1070.0,2.0,47.0,2,4392.523364485981
Electronic City Phase II,3 BHK,1611.0,2.0,48.33,3,3000.0
Whitefield,3 BHK,1405.0,3.0,58.0,3,4128.113879003558
VGP Layout,3 BHK,1515.0,3.0,90.0,3,5940.59405940594
Thigalarapalya,3 BHK,1830.0,4.0,150.0,3,8196.72131147541
Kaggadasapura,3 BHK,1710.0,3.0,60.0,3,3508.7719298245615
BTM Layout,2 BHK,935.0,2.0,51.5,2,5508.0213903743315
Brookefield,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
Jakkur,2 BHK,1125.0,2.0,65.0,2,5777.777777777777
Magadi Road,3 BHK,1191.0,2.0,55.38,3,4649.8740554156175
CV Raman Nagar,3 BHK,1525.0,2.0,67.0,3,4393.44262295082
Chikkabanavar,2 BHK,600.0,1.0,25.0,2,4166.666666666667
Thanisandra,2 BHK,1185.0,2.0,44.0,2,3713.0801687763715
Electronics City Phase 1,2 BHK,1190.0,2.0,68.0,2,5714.285714285715
Whitefield,4 BHK,2856.0,5.0,158.5,4,5549.7198879551825
Whitefield,2 BHK,1355.0,2.0,73.0,2,5387.453874538745
Yelahanka New Town,1 BHK,500.0,2.0,24.0,1,4800.0
Bommasandra Industrial Area,3 BHK,1250.0,3.0,50.0,3,4000.0
Ambalipura,4 BHK,3300.0,4.0,329.0,4,9969.69696969697
Green Woods Layout,2 BHK,1206.0,2.0,53.0,2,4394.69320066335
Rajaji Nagar,2 BHK,1357.0,2.0,130.0,2,9579.955784819454
8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
Seegehalli,3 Bedroom,3000.0,5.0,335.0,3,11166.666666666666
Brookefield,2 BHK,1100.0,2.0,55.0,2,5000.0
Raja Rajeshwari Nagar,2 BHK,1306.0,2.0,44.17,2,3382.08269525268
Kalena Agrahara,1 BHK,610.0,1.0,39.0,1,6393.44262295082
Yelahanka,3 BHK,1484.0,2.0,56.4,3,3800.5390835579515
Ramamurthy Nagar,2 BHK,1125.0,2.0,47.0,2,4177.777777777777
Whitefield,4 BHK,2882.0,5.0,158.0,4,5482.303955586398
Stage-4 Bommanahalli,2 BHK,1250.0,2.0,58.0,2,4640.0
1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
Hennur Road,4 BHK,2502.0,4.0,180.0,4,7194.244604316546
Rayasandra,1 BHK,583.0,1.0,26.9,1,4614.065180102916
Whitefield,1 BHK,750.0,1.0,51.0,1,6800.0
Marathahalli,3 BHK,1600.0,3.0,58.0,3,3625.0
Chikkalasandra,3 BHK,1365.0,2.0,49.0,3,3589.74358974359
Hormavu,2 BHK,1260.0,2.0,35.0,2,2777.777777777778
Electronics City Phase 1,2 BHK,1190.0,2.0,33.92,2,2850.4201680672268
Hosakerehalli,3 BHK,2480.0,4.0,260.0,3,10483.870967741936
Banashankari Stage V,3 BHK,1510.0,3.0,47.57,3,3150.3311258278145
Kundalahalli,2 BHK,1120.0,2.0,53.76,2,4800.0
Whitefield,2 BHK,1115.0,2.0,34.555,2,3099.103139013453
Dodsworth Layout,3 BHK,1717.0,3.0,99.0,3,5765.87070471753
Bannerghatta Road,3 BHK,1465.0,2.0,45.87,3,3131.0580204778157
Haralur Road,3 BHK,1255.0,2.0,90.0,3,7171.314741035857
Electronic City Phase II,2 BHK,1065.0,2.0,30.88,2,2899.5305164319248
Bellandur,2 BHK,1281.0,2.0,87.0,2,6791.569086651054
Electronic City,2 BHK,1210.0,2.0,25.0,2,2066.115702479339
Kaggadasapura,2 BHK,1215.0,2.0,43.0,2,3539.0946502057614
Mysore Road,2 BHK,1237.0,2.0,73.0,2,5901.3742926434925
Lakshminarayana Pura,2 BHK,1300.0,2.0,70.0,2,5384.615384615385
Whitefield,2 BHK,1105.0,2.0,39.99,2,3619.004524886878
Chandapura,3 BHK,1505.0,2.0,42.0,3,2790.6976744186045
Banashankari,2 BHK,1186.0,2.0,65.0,2,5480.607082630691
Kengeri,2 BHK,750.0,2.0,35.5,2,4733.333333333333
Varthur,2 BHK,1083.0,2.0,28.0,2,2585.410895660203
Thanisandra,2 BHK,1056.0,2.0,68.0,2,6439.393939393939
VGP Layout,3 BHK,2108.0,3.0,85.0,3,4032.2580645161293
Banashankari,3 BHK,1650.0,3.0,101.0,3,6121.212121212121
Electronic City Phase II,3 BHK,1220.0,3.0,36.6,3,3000.0
Rayasandra,2 BHK,1198.0,2.0,54.0,2,4507.512520868114
Ejipura,2 BHK,1190.0,2.0,70.0,2,5882.35294117647
Bommenahalli,4 Bedroom,2940.0,3.0,2250.0,4,76530.61224489796
Yelahanka,2 BHK,1260.0,2.0,59.2,2,4698.412698412699
Talaghattapura,3 BHK,2254.0,3.0,153.0,3,6787.93256433008
Old Madras Road,3 BHK,2990.0,5.0,210.0,3,7023.411371237458
JP Nagar,2 BHK,820.0,2.0,45.0,2,5487.804878048781
Electronic City,2 BHK,1296.0,2.0,65.0,2,5015.432098765432
Whitefield,2 BHK,1173.0,2.0,77.0,2,6564.364876385337
Yelahanka,2 BHK,1102.0,2.0,52.0,2,4718.693284936479
Yelahanka,2 BHK,1519.0,2.0,65.0,2,4279.131007241606
Dodsworth Layout,3 BHK,1594.0,3.0,99.0,3,6210.790464240903
Kaverappa Layout,2 BHK,1250.0,2.0,68.0,2,5440.0
Haralur Road,2 BHK,1056.0,2.0,60.0,2,5681.818181818182
Ambedkar Colony,2 BHK,1464.0,2.0,145.0,2,9904.371584699453
Gollarapalya Hosahalli,2 BHK,861.0,2.0,36.5,2,4239.256678281068
Kundalahalli,2 BHK,1047.0,2.0,82.62,2,7891.117478510028
Rajaji Nagar,3 BHK,2300.0,3.0,369.0,3,16043.478260869566
Ramamurthy Nagar,2 BHK,1000.0,2.0,62.0,2,6200.0
Lingadheeranahalli,3 BHK,1682.0,3.0,113.0,3,6718.192627824019
Dasanapura,2 BHK,814.0,2.0,42.0,2,5159.7051597051595
Dodda Nekkundi,2 BHK,1145.0,2.0,46.5,2,4061.1353711790393
Varthur,2 BHK,965.0,2.0,34.0,2,3523.316062176166
Banashankari,3 BHK,1300.0,2.0,55.0,3,4230.7692307692305
1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
Begur Road,1 BHK,644.0,1.0,40.0,1,6211.180124223602
Whitefield,2 BHK,982.0,2.0,37.0,2,3767.8207739307536
Rayasandra,3 BHK,1555.0,3.0,75.17,3,4834.083601286174
Electronics City Phase 1,2 BHK,1085.0,2.0,46.0,2,4239.6313364055295
Rajaji Nagar,3 BHK,1640.0,3.0,220.0,3,13414.634146341463
Thanisandra,3 BHK,1595.0,3.0,110.0,3,6896.551724137931
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,40.44,2,3381.2709030100336
Yelahanka,3 BHK,1859.0,3.0,108.0,3,5809.575040344271
9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2,5560.704355885079
Whitefield,2 BHK,1118.0,2.0,42.0,2,3756.7084078711987
CV Raman Nagar,2 BHK,1198.0,2.0,60.0,2,5008.347245409015
Thigalarapalya,3 BHK,1830.0,4.0,135.0,3,7377.049180327869
Banashankari Stage VI,2 BHK,1160.0,2.0,59.0,2,5086.206896551724
Ejipura,3 BHK,2070.0,3.0,135.0,3,6521.739130434783
Kannamangala,2 BHK,957.0,2.0,52.5,2,5485.8934169279
Bannerghatta Road,2 BHK,1268.0,2.0,69.0,2,5441.640378548896
Bannerghatta Road,3 BHK,1450.0,2.0,87.0,3,6000.0
Manorayana Palya,3 BHK,1600.0,2.0,75.0,3,4687.5
Uttarahalli,3 BHK,1330.0,2.0,57.0,3,4285.714285714285
Jakkur,3 BHK,1355.0,2.0,65.0,3,4797.047970479704
Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.49,2,3499.090909090909
Vasantha Vallabha Nagar,2 BHK,900.0,1.0,44.0,2,4888.888888888889
Haralur Road,2 BHK,1140.0,2.0,42.0,2,3684.2105263157896
Talaghattapura,3 BHK,2106.0,3.0,148.0,3,7027.540360873694
Sarjapur  Road,3 BHK,1660.0,2.0,116.0,3,6987.951807228916
Electronic City Phase II,3 BHK,1549.0,3.0,80.0,3,5164.622336991608
Marathahalli,1 BHK,700.0,1.0,38.0,1,5428.571428571428
Balagere,2 BHK,1012.0,2.0,64.0,2,6324.110671936759
Whitefield,2 BHK,1216.0,2.0,69.0,2,5674.3421052631575
Electronic City Phase II,2 BHK,1065.0,2.0,56.13,2,5270.422535211268
Thanisandra,3 BHK,1411.0,3.0,93.15,3,6601.700921332388
Pai Layout,2 BHK,1400.0,2.0,57.5,2,4107.142857142857
Hoskote,3 BHK,1250.0,3.0,29.0,3,2320.0
Choodasandra,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
Vidyaranyapura,2 BHK,1000.0,2.0,35.0,2,3500.0
Panathur,3 BHK,1580.0,3.0,71.89,3,4550.0
Subramanyapura,3 BHK,1800.0,3.0,90.0,3,5000.0
Mathikere,2 BHK,1500.0,2.0,130.0,2,8666.666666666666
Kasavanhalli,3 BHK,1494.0,3.0,82.0,3,5488.621151271754
Bhoganhalli,3 BHK,1949.0,3.0,129.0,3,6618.778860954336
BTM Layout,2 BHK,1020.0,2.0,46.5,2,4558.823529411765
Mysore Road,2 BHK,883.0,2.0,45.0,2,5096.262740656852
Yeshwanthpur,2 BHK,1240.0,2.0,80.0,2,6451.612903225807
Hegde Nagar,3 BHK,1835.0,3.0,88.0,3,4795.6403269754765
Gottigere,2 BHK,945.0,2.0,45.0,2,4761.9047619047615
Sathya Layout,3 BHK,1504.0,2.0,100.0,3,6648.936170212766
Lakshminarayana Pura,3 BHK,1569.0,3.0,150.0,3,9560.229445506691
Harlur,3 BHK,1755.0,3.0,130.0,3,7407.407407407408
Electronics City Phase 1,3 BHK,1450.0,3.0,72.54,3,5002.758620689656
5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
Choodasandra,2 BHK,1215.0,2.0,59.0,2,4855.9670781893
Raja Rajeshwari Nagar,2 BHK,1178.0,2.0,75.0,2,6366.723259762309
Hulimavu,4 Bedroom,1500.0,4.0,192.0,4,12800.0
Shree Ananth Nagar Layout,2 BHK,2040.0,2.0,59.0,2,2892.156862745098
Shanti Nagar,3 BHK,1602.0,2.0,165.0,3,10299.625468164793
Jayamahal,3 BHK,1800.0,3.0,220.0,3,12222.222222222223
Sarjapur  Road,3 BHK,1700.0,3.0,108.0,3,6352.941176470588
Jigani,3 BHK,1200.0,3.0,65.0,3,5416.666666666667
Veer Sandra,3 Bedroom,1500.0,3.0,72.0,3,4800.0
Karuna Nagar,3 Bedroom,1240.0,3.0,165.0,3,13306.451612903225
Chennappa Layout,3 BHK,1280.0,2.0,48.0,3,3750.0
CV Raman Nagar,2 BHK,1560.0,2.0,85.0,2,5448.717948717948
Brookefield,4 BHK,2400.0,3.0,140.0,4,5833.333333333333
Bhuvaneshwari Nagar,2 BHK,900.0,2.0,45.0,2,5000.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3,8378.378378378378
Hennur Road,3 BHK,1831.0,3.0,110.0,3,6007.646095030038
Electronic City Phase II,3 BHK,1320.0,2.0,38.13,3,2888.636363636364
Sarjapur  Road,3 BHK,1272.5,2.0,40.72,3,3200.0
Budigere,3 BHK,1820.0,3.0,85.4,3,4692.307692307692
Bisuvanahalli,3 BHK,1075.0,2.0,41.0,3,3813.953488372093
Kadugodi,1 BHK,925.0,1.0,40.7,1,4400.000000000001
Electronic City,2 BHK,1140.0,2.0,70.93,2,6221.9298245614045
Kaggadasapura,3 BHK,1805.0,2.0,75.0,3,4155.124653739612
Bommenahalli,4 Bedroom,1355.0,3.0,135.0,4,9963.09963099631
Koramangala,3 BHK,1716.0,2.0,115.0,3,6701.631701631702
Chandapura,2 BHK,937.0,2.0,30.0,2,3201.7075773745996
Hennur Gardens,3 BHK,1490.0,2.0,115.0,3,7718.120805369127
Frazer Town,4 BHK,4856.0,5.0,410.0,4,8443.163097199342
Whitefield,4 Bedroom,4003.0,6.0,525.0,4,13115.16362727954
Whitefield,2 BHK,1100.0,2.0,37.0,2,3363.6363636363635
Thigalarapalya,2 BHK,1000.0,2.0,48.53,2,4853.0
Kundalahalli,2 BHK,1047.0,2.0,91.0,2,8691.499522445081
Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
Tejaswini Nagar,3 BHK,1550.0,3.0,59.0,3,3806.451612903226
Seegehalli,3 BHK,1553.0,3.0,68.0,3,4378.62202189311
Electronic City Phase II,2 BHK,920.0,2.0,26.0,2,2826.086956521739
Jeevan bima nagar,3 BHK,1740.0,3.0,120.0,3,6896.551724137931
Kundalahalli,3 BHK,1724.0,3.0,146.0,3,8468.677494199535
B Narayanapura,2 BHK,1020.0,2.0,60.0,2,5882.35294117647
Thubarahalli,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Haralur Road,2 BHK,1140.0,2.0,58.0,2,5087.7192982456145
Basava Nagar,1 BHK,550.0,1.0,16.0,1,2909.090909090909
Bannerghatta Road,3 BHK,1450.0,3.0,44.0,3,3034.4827586206898
Kanakpura Road,2 BHK,700.0,2.0,35.07,2,5010.0
Yelahanka,2 BHK,1050.0,2.0,45.0,2,4285.714285714285
Volagerekallahalli,2 BHK,1492.0,2.0,65.0,2,4356.56836461126
Whitefield,4 BHK,2856.0,5.0,157.5,4,5514.705882352941
Sarjapur  Road,3 BHK,1489.0,2.0,82.0,3,5507.051712558764
Haralur Road,2 BHK,1140.0,2.0,42.0,2,3684.2105263157896
Lavakusha Nagar,3 BHK,1431.0,3.0,65.0,3,4542.278127183788
Lingadheeranahalli,3 BHK,1682.0,3.0,114.0,3,6777.645659928657
Panathur,2 BHK,1198.0,2.0,86.26,2,7200.33388981636
Outer Ring Road East,3 Bedroom,3664.0,3.0,325.0,3,8870.087336244542
Sarjapur  Road,3 BHK,1550.0,2.0,69.75,3,4500.0
Sarjapur  Road,1 BHK,539.0,1.0,45.0,1,8348.794063079777
Thubarahalli,2 BHK,1200.0,2.0,79.55,2,6629.166666666667
Sarjapur  Road,3 BHK,1186.0,2.0,40.0,3,3372.681281618887
Thanisandra,2 BHK,1039.0,2.0,39.5,2,3801.732435033686
Malleshwaram,3 BHK,2520.0,3.0,150.0,3,5952.380952380952
Brookefield,2 BHK,1225.0,2.0,66.5,2,5428.571428571428
Bommanahalli,2 BHK,1350.0,2.0,72.0,2,5333.333333333333
Vittal Mallya Road,2 BHK,1030.0,2.0,300.0,2,29126.21359223301
Brindavan Nagar,3 BHK,1520.0,3.0,111.0,3,7302.631578947368
Dena Bank Colony,3 BHK,1391.0,2.0,64.5,3,4636.951833213516
Rachenahalli,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Yelahanka,2 BHK,1322.0,2.0,80.0,2,6051.437216338881
Whitefield,3 BHK,2173.0,3.0,128.0,3,5890.473999079613
Sarjapur  Road,2 BHK,1200.0,2.0,75.0,2,6250.0
Devanahalli,1 BHK,698.5,1.0,28.57,1,4090.1932712956336
Seetharampalya,2 BHK,1250.0,2.0,90.0,2,7200.0
Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
Whitefield,3 BHK,1435.0,3.0,45.0,3,3135.8885017421603
Electronics City Phase 1,2 BHK,1175.0,2.0,64.98,2,5530.212765957447
Doddabidrakallu,2 BHK,900.0,2.0,33.0,2,3666.6666666666665
Jigani,4 Bedroom,3170.0,5.0,230.0,4,7255.520504731861
Shanti Nagar,3 BHK,1602.0,2.0,170.0,3,10611.735330836455
Thanisandra,2 BHK,1220.0,2.0,42.0,2,3442.622950819672
Rajaji Nagar,3 BHK,2500.0,3.0,350.0,3,14000.0
Sarjapur  Road,3 BHK,2145.0,3.0,180.0,3,8391.608391608392
Bannerghatta Road,2 BHK,960.0,2.0,58.0,2,6041.666666666667
NGR Layout,1 BHK,907.0,1.0,38.0,1,4189.636163175303
Old Madras Road,2 BHK,1210.0,2.0,74.0,2,6115.702479338843
Jnana Ganga Nagar,2 BHK,1230.0,2.0,70.0,2,5691.056910569106
5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
Kenchenahalli,2 BHK,1150.0,2.0,58.0,2,5043.478260869565
Sarjapur,3 BHK,1404.0,2.0,53.35,3,3799.8575498575497
Yelahanka,2 BHK,1285.0,2.0,56.0,2,4357.976653696498
Hormavu,2 BHK,1018.0,2.0,50.8,2,4990.176817288801
Ejipura,3 BHK,1600.0,3.0,95.0,3,5937.5
9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2,5405.405405405405
Akshaya Nagar,3 BHK,1435.0,3.0,53.0,3,3693.3797909407667
CV Raman Nagar,3 BHK,1590.0,2.0,85.0,3,5345.911949685535
Kengeri,3 BHK,1741.0,3.0,80.0,3,4595.060310166571
JP Nagar,3 BHK,1750.0,3.0,123.0,3,7028.571428571428
Tumkur Road,2 BHK,1027.0,2.0,60.0,2,5842.259006815969
Geleyara Balaga Layout,2 BHK,596.0,2.0,22.0,2,3691.2751677852348
Dollar Scheme Colony,4 BHK,3463.0,6.0,310.0,4,8951.775916835115
Sahakara Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
Varthur,2 BHK,1120.0,2.0,44.24,2,3950.0
Kasturi Nagar,3 BHK,1570.0,3.0,110.0,3,7006.369426751592
Koramangala,3 BHK,1500.0,3.0,135.0,3,9000.0
Frazer Town,2 BHK,1315.0,2.0,140.0,2,10646.38783269962
Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2,2968.421052631579
Banashankari,2 BHK,1105.0,2.0,90.0,2,8144.796380090498
Whitefield,1 BHK,905.0,1.0,62.0,1,6850.828729281768
Kudlu Gate,2 BHK,1185.0,2.0,50.0,2,4219.4092827004215
Rayasandra,3 BHK,1458.0,3.0,60.0,3,4115.22633744856
Hormavu,3 BHK,1555.0,3.0,75.0,3,4823.15112540193
Devi Nagar,2 BHK,1200.0,2.0,45.0,2,3750.0
Sarjapur  Road,2 BHK,1308.0,2.0,58.86,2,4500.0
Kudlu,2 BHK,1024.0,2.0,44.0,2,4296.875
Seegehalli,3 BHK,1639.0,3.0,120.0,3,7321.537522879805
Hennur Road,2 BHK,1232.0,2.0,87.0,2,7061.688311688312
Kasavanhalli,3 BHK,1719.0,3.0,184.0,3,10703.89761489238
Chandapura,2 BHK,975.0,2.0,24.86,2,2549.74358974359
Jakkur,2 BHK,1230.0,2.0,79.0,2,6422.764227642277
Kodigehaali,3 BHK,2120.0,3.0,177.0,3,8349.056603773584
Electronic City,2 BHK,1096.0,2.0,40.55,2,3699.8175182481746
Horamavu Agara,2 BHK,1107.83,2.0,41.51,2,3746.964787016059
Sarjapur  Road,2 BHK,1320.0,2.0,115.0,2,8712.121212121212
8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
Whitefield,2 BHK,1320.0,2.0,99.26,2,7519.69696969697
Whitefield,3 BHK,2901.0,4.0,190.0,3,6549.465701482248
GM Palaya,3 BHK,1315.0,2.0,65.0,3,4942.9657794676805
VGP Layout,2 BHK,1000.0,2.0,44.0,2,4400.0
Hosakerehalli,3 BHK,1596.0,3.0,79.8,3,5000.0
Whitefield,4 Bedroom,2403.0,4.0,270.0,4,11235.955056179775
Old Madras Road,3 BHK,1350.0,3.0,47.25,3,3500.0
Sultan Palaya,3 BHK,1713.0,3.0,125.0,3,7297.139521307648
Ittamadu,2 BHK,1200.0,2.0,43.0,2,3583.3333333333335
Binny Pete,3 BHK,1795.0,3.0,139.0,3,7743.732590529248
Kereguddadahalli,1 BHK,600.0,1.0,19.5,1,3250.0
Hegde Nagar,3 BHK,1965.0,4.0,132.0,3,6717.557251908397
Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2,4980.0
Jigani,2 BHK,914.0,2.0,55.0,2,6017.505470459519
Whitefield,2 BHK,1485.0,2.0,96.51,2,6498.989898989899
Kanakapura,3 BHK,1460.0,2.0,43.79,3,2999.3150684931506
Thanisandra,2 BHK,1450.0,2.0,57.0,2,3931.0344827586205
HSR Layout,3 BHK,1360.0,2.0,53.0,3,3897.0588235294117
Uttarahalli,2 BHK,1125.0,2.0,48.0,2,4266.666666666667
7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
Green View Layout,2 BHK,1107.0,2.0,40.0,2,3613.369467028004
Bhoganhalli,3 BHK,1760.0,3.0,128.0,3,7272.727272727273
BTM Layout,3 BHK,1600.0,3.0,112.0,3,7000.0
Whitefield,3 BHK,1755.0,3.0,101.0,3,5754.985754985755
Hulimavu,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Chokkanahalli,2 BHK,1266.67,2.0,69.0,2,5447.3540859103
Whitefield,4 Bedroom,4800.0,5.0,550.0,4,11458.333333333334
Mysore Road,2 BHK,1029.5,2.0,50.855,2,4939.776590577951
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,40.0,2,3546.099290780142
Arekere,4 BHK,2710.0,6.0,142.0,4,5239.852398523985
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.0,2,3388.3579496090356
Electronic City,2 BHK,1017.0,2.0,27.0,2,2654.8672566371683
Sarjapur  Road,2 BHK,920.0,2.0,40.0,2,4347.826086956522
Munnekollal,3 BHK,1750.0,3.0,86.5,3,4942.857142857143
Dasanapura,2 BHK,1163.0,2.0,65.0,2,5588.993981083405
7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
Kundalahalli Colony,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
CV Raman Nagar,2 BHK,1100.0,2.0,58.0,2,5272.727272727273
Ganga Nagar,3 BHK,1410.0,3.0,65.0,3,4609.929078014185
Begur Road,2 BHK,1200.0,2.0,45.6,2,3800.0
Whitefield,3 BHK,1608.0,2.0,63.0,3,3917.910447761194
Kasavanhalli,1 BHK,770.0,1.0,43.82,1,5690.909090909091
Ardendale,3 BHK,1777.26,3.0,105.0,3,5907.970696465346
Kanakpura Road,2 BHK,1339.0,2.0,85.0,2,6348.020911127707
Chennappa Layout,2 BHK,1080.0,2.0,44.8,2,4148.148148148148
Hulimavu,3 BHK,1450.0,3.0,72.0,3,4965.517241379311
Sarjapur  Road,3 BHK,1163.0,2.0,62.0,3,5331.04041272571
Hebbal,2 BHK,1299.0,2.0,100.0,2,7698.229407236336
Yelahanka,4 BHK,2600.0,4.0,175.0,4,6730.7692307692305
KR Puram,2 BHK,1140.0,2.0,43.32,2,3800.0
Kanakpura Road,3 BHK,1900.0,3.0,125.0,3,6578.9473684210525
Electronic City,2 BHK,1110.0,2.0,39.95,2,3599.0990990990995
